lng,lat
-8.4909667,42.6898712
-8.4909667,42.6898712
-8.4909667,42.6898712
-8.4909667,42.6898712
-7.0688574,43.12471
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.865254,41.9074756
-8.8666032,42.5521338
-8.8666032,42.5521338
-8.8666032,42.5521338
-8.5844049,43.24827
-8.5844049,43.24827
-7.0449638,42.0118482
-7.3732655,43.3039579
-7.2538097,42.3393468
6.0838868,50.7753455
-1.0406601,38.2051808
-2.777359,37.1423439
-0.5634,43.3583
-3.7309677,40.3754163
1.9017802,41.5175266
1.9017802,41.5175266
1.9017802,41.5175266
1.9017802,41.5175266
-2.7960332,37.1338726
-2.7960332,37.1338726
-5.5718525,39.0763875
-5.5718525,39.0763875
-6.4863159,38.6474924
-4.6050136,40.9438989
-4.6050136,40.9438989
-4.6050136,40.9438989
-4.6050136,40.9438989
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-16.7338211,28.1220604
-0.2256387,38.9183079
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
-3.0163202,36.7479022
