V1,V2
42.6898712,-8.4909667
42.6898712,-8.4909667
42.6898712,-8.4909667
42.6898712,-8.4909667
43.12471,-7.0688574
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
41.9074756,-8.865254
42.5521338,-8.8666032
42.5521338,-8.8666032
42.5521338,-8.8666032
43.24827,-8.5844049
43.24827,-8.5844049
42.0118482,-7.0449638
43.3039579,-7.3732655
42.3393468,-7.2538097
50.7753455,6.0838868
38.2051808,-1.0406601
37.1423439,-2.777359
43.3583,-0.5634
40.3754163,-3.7309677
41.5175266,1.9017802
41.5175266,1.9017802
41.5175266,1.9017802
41.5175266,1.9017802
37.1338726,-2.7960332
37.1338726,-2.7960332
39.0763875,-5.5718525
39.0763875,-5.5718525
38.6474924,-6.4863159
40.9438989,-4.6050136
40.9438989,-4.6050136
40.9438989,-4.6050136
40.9438989,-4.6050136
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
28.1220604,-16.7338211
38.9183079,-0.2256387
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
36.7479022,-3.0163202
43.2096275,-2.0518154
43.2096275,-2.0518154
43.2096275,-2.0518154
43.3088031,3.4768109
43.3088031,3.4768109
43.3088031,3.4768109
44.203142,0.616363
38.4372517,-0.6381854
38.4372517,-0.6381854
38.4372517,-0.6381854
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
41.7871869,1.0979794
38.7808327,-0.5157406
36.816162,-2.5718122
36.816162,-2.5718122
41.2745194,-4.6531074
38.9827178,-4.8702156
42.7931905,-4.2622141
42.7931905,-4.2622141
42.7931905,-4.2622141
42.7931905,-4.2622141
42.7931905,-4.2622141
42.7931905,-4.2622141
42.7931905,-4.2622141
42.7931905,-4.2622141
37.5138455,-4.6566596
37.5138455,-4.6566596
37.5138455,-4.6566596
42.393654,2.8458672
42.393654,2.8458672
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
38.8229998,-0.5494064
40.189346,-6.1875652
40.189346,-6.1875652
38.2591386,-5.8650614
38.2591386,-5.8650614
38.2591386,-5.8650614
43.2368999,-2.148555
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
38.8797845,-0.5883903
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
41.9376629,2.7620863
46.01672,3.2000099
43.567172,4.1925869
43.6850809,4.208849
43.700062,-0.262294
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
43.529742,5.447427
40.5302674,-3.4839237
40.5302674,-3.4839237
40.5302674,-3.4839237
40.5302674,-3.4839237
40.5302674,-3.4839237
41.3069922,-5.2175331
42.6597623,-4.3090044
39.0950499,-1.3619952
